ok   sfxs/teleport.bin           6796 ->    8790  (77.3%, leeway 2)
ok   sfxs/token.bin              5836 ->    8012  (72.8%, leeway 0)
ok   sfxs/trollhit.bin           7846 ->    8196  (95.7%, leeway 0)
ok   sfxs/trollmad.bin          14422 ->   16388  (88.0%, leeway 0)
ok   txts/floor1                 1330 ->   16448  (8.1%, leeway 0)
ok   txts/floor2                 1610 ->   16448  (9.8%, leeway 0)
ok   txts/floor3                 1806 ->   16448  (11.0%, leeway 0)
ok   txts/roof1                   394 ->   16448  (2.4%, leeway 0)
ok   txts/roof2                  1674 ->   16448  (10.2%, leeway 0)
ok   txts/roof3                  1642 ->   16448  (10.0%, leeway 0)
ok   txts/txt1_0                 2778 ->   33348  (8.3%, leeway 0)
ok   txts/txt1_1                15330 ->   83716  (18.3%, leeway 0)
ok   txts/txt1_2                 9532 ->   83716  (11.4%, leeway 0)
ok   txts/txt1_3                10156 ->   83332  (12.2%, leeway 0)
ok   txts/txt1_4                11616 ->   83268  (14.0%, leeway 0)
ok   txts/txt3_1                16554 ->   83716  (19.8%, leeway 0)
ok   txts/txt3_2                14068 ->   83716  (16.8%, leeway 0)
ok   txts/txt3_3                17986 ->   75396  (23.9%, leeway 0)
ok   txts/txt3_4                 2396 ->   17156  (14.0%, leeway 0)
ok   txts/txt4_1                16424 ->   83716  (19.6%, leeway 0)
ok   txts/txt4_2                12462 ->   83268  (15.0%, leeway 0)
ok   txts/txt4_3                16522 ->   83268  (19.8%, leeway 0)

115 decrunched, 0 failed, 16 not packed
